Invoice Id,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Sales,Date,Time,Payment,Cost of Goods saled,Gross Income,Rating,Day,Month,Year,Satisfaction
126-54-1082,Alex,Yangon,Member,Female,Home And Lifestyle,21.54,9,203.553,1/7/2019,11:44:00 AM,Credit Card,193.86,9.693,8.8,Monday,January,00:00.0,Satisfied
541-48-8554,Alex,Yangon,Normal,Male,Sports And Travel,60.95,9,575.9775,1/7/2019,12:08:00 PM,Credit Card,548.55,27.4275,6,Monday,January,00:00.0,not Satisfied
889-04-9723,Cairo,Mandalay,Member,Female,Food And Beverages,89.14,4,374.388,1/7/2019,12:20:00 PM,Credit Card,356.56,17.828,7.8,Monday,January,00:00.0,Satisfied
232-16-2483,Giza,Naypyitaw,Member,Female,Sports And Travel,68.12,1,71.526,1/7/2019,12:28:00 PM,E-Wallet,68.12,3.406,6.8,Monday,January,00:00.0,not Satisfied
390-31-6381,Giza,Naypyitaw,Normal,Male,Food And Beverages,27.22,3,85.743,1/7/2019,12:37:00 PM,Cash,81.66,4.083,7.3,Monday,January,00:00.0,Satisfied
109-28-2512,Cairo,Mandalay,Member,Female,Fashion Accessories,97.61,6,761.358,1/7/2019,3:01:00 PM,E-Wallet,585.66,29.283,9.9,Monday,January,00:00.0,Satisfied
799-71-1548,Alex,Yangon,Member,Male,Electronic Accessories,77.72,4,326.424,1/7/2019,4:11:00 PM,Credit Card,310.88,15.544,8.8,Monday,January,00:00.0,Satisfied
526-86-8552,Giza,Naypyitaw,Member,Female,Home And Lifestyle,21.82,10,229.11,1/7/2019,5:36:00 PM,Cash,218.2,10.91,7.1,Monday,January,00:00.0,Satisfied
566-19-5475,Cairo,Mandalay,Normal,Male,Fashion Accessories,47.97,7,352.5795,1/7/2019,8:52:00 PM,Cash,335.79,16.7895,6.2,Monday,January,00:00.0,not Satisfied
442-44-6497,Giza,Naypyitaw,Member,Male,Home And Lifestyle,55.57,3,175.0455,1/8/2019,11:42:00 AM,Credit Card,166.71,8.3355,5.9,Tuesday,January,00:00.0,not Satisfied
767-97-4650,Cairo,Mandalay,Member,Female,Sports And Travel,64.83,2,136.143,1/8/2019,11:59:00 AM,Credit Card,129.66,6.483,8,Tuesday,January,00:00.0,Satisfied
387-49-4215,Cairo,Mandalay,Member,Female,Sports And Travel,48.5,3,152.775,1/8/2019,12:50:00 PM,Cash,145.5,7.275,6.7,Tuesday,January,00:00.0,not Satisfied
241-96-5076,Cairo,Mandalay,Member,Female,Home And Lifestyle,49.1,2,103.11,1/8/2019,12:58:00 PM,Credit Card,98.2,4.91,6.4,Tuesday,January,00:00.0,not Satisfied
674-15-9296,Alex,Yangon,Normal,Male,Sports And Travel,37.14,5,194.985,1/8/2019,1:05:00 PM,E-Wallet,185.7,9.285,5,Tuesday,January,00:00.0,not Satisfied
750-57-9686,Giza,Naypyitaw,Normal,Female,Home And Lifestyle,45.38,4,190.596,1/8/2019,1:48:00 PM,Credit Card,181.52,9.076,8.7,Tuesday,January,00:00.0,Satisfied
192-98-7397,Giza,Naypyitaw,Normal,Male,Fashion Accessories,12.78,1,13.419,1/8/2019,2:11:00 PM,E-Wallet,12.78,0.639,9.5,Tuesday,January,00:00.0,Satisfied
490-95-0021,Cairo,Mandalay,Member,Female,Food And Beverages,33.21,10,348.705,1/8/2019,2:25:00 PM,E-Wallet,332.1,16.605,6,Tuesday,January,00:00.0,not Satisfied
124-31-1458,Alex,Yangon,Member,Female,Electronic Accessories,79.59,3,250.7085,1/8/2019,2:30:00 PM,Cash,238.77,11.9385,6.6,Tuesday,January,00:00.0,not Satisfied
663-86-9076,Giza,Naypyitaw,Member,Female,Food And Beverages,68.54,8,575.736,1/8/2019,3:57:00 PM,E-Wallet,548.32,27.416,8.5,Tuesday,January,00:00.0,Satisfied
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion Accessories,31.73,9,299.8485,1/8/2019,4:17:00 PM,Credit Card,285.57,14.2785,5.9,Tuesday,January,00:00.0,not Satisfied
257-60-7754,Alex,Yangon,Normal,Female,Electronic Accessories,50.23,4,210.966,1/8/2019,5:12:00 PM,Cash,200.92,10.046,9,Tuesday,January,00:00.0,Satisfied
840-76-5966,Alex,Yangon,Member,Male,Sports And Travel,12.76,2,26.796,1/8/2019,6:06:00 PM,E-Wallet,25.52,1.276,7.8,Tuesday,January,00:00.0,Satisfied
457-13-1708,Cairo,Mandalay,Member,Male,Fashion Accessories,65.23,10,684.915,1/8/2019,7:07:00 PM,Credit Card,652.3,32.615,5.2,Tuesday,January,00:00.0,not Satisfied
631-34-1880,Giza,Naypyitaw,Member,Male,Food And Beverages,24.31,3,76.5765,1/8/2019,7:09:00 PM,Credit Card,72.93,3.6465,4.3,Tuesday,January,00:00.0,not Satisfied
845-94-6841,Giza,Naypyitaw,Member,Female,Food And Beverages,72.88,9,688.716,1/8/2019,7:38:00 PM,Cash,655.92,32.796,4,Tuesday,January,00:00.0,not Satisfied
484-22-8230,Giza,Naypyitaw,Member,Female,Fashion Accessories,51.89,7,381.3915,1/8/2019,8:08:00 PM,Cash,363.23,18.1615,4.5,Tuesday,January,00:00.0,not Satisfied
571-94-0759,Cairo,Mandalay,Member,Female,Food And Beverages,74.6,10,783.3,1/8/2019,8:55:00 PM,Cash,746,37.3,9.5,Tuesday,January,00:00.0,Satisfied
189-40-5216,Giza,Naypyitaw,Normal,Male,Electronic Accessories,96.37,7,708.3195,1/9/2019,11:40:00 AM,Cash,674.59,33.7295,6,Wednesday,January,00:00.0,not Satisfied
867-47-1948,Giza,Naypyitaw,Normal,Female,Home And Lifestyle,15.8,10,165.9,1/9/2019,12:07:00 PM,Cash,158,7.9,7.8,Wednesday,January,00:00.0,Satisfied
288-62-1085,Alex,Yangon,Member,Male,Fashion Accessories,38.54,5,202.335,1/9/2019,1:34:00 PM,E-Wallet,192.7,9.635,5.6,Wednesday,January,00:00.0,not Satisfied
554-42-2417,Giza,Naypyitaw,Normal,Female,Sports And Travel,95.44,10,1002.12,1/9/2019,1:45:00 PM,Cash,954.4,47.72,5.2,Wednesday,January,00:00.0,not Satisfied
370-96-0655,Giza,Naypyitaw,Normal,Female,Fashion Accessories,49.32,6,310.716,1/9/2019,1:46:00 PM,E-Wallet,295.92,14.796,7.1,Wednesday,January,00:00.0,Satisfied
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion Accessories,49.04,9,463.428,1/9/2019,2:20:00 PM,Credit Card,441.36,22.068,8.6,Wednesday,January,00:00.0,Satisfied
343-75-9322,Cairo,Mandalay,Member,Female,Sports And Travel,11.85,8,99.54,1/9/2019,4:34:00 PM,Cash,94.8,4.74,4.1,Wednesday,January,00:00.0,not Satisfied
305-89-2768,Cairo,Mandalay,Member,Female,Home And Lifestyle,21.9,3,68.985,1/9/2019,6:43:00 PM,E-Wallet,65.7,3.285,4.7,Wednesday,January,00:00.0,not Satisfied
887-42-0517,Giza,Naypyitaw,Normal,Female,Sports And Travel,83.14,7,611.079,1/10/2019,10:31:00 AM,Credit Card,581.98,29.099,6.6,Thursday,January,00:00.0,not Satisfied
241-11-2261,Cairo,Mandalay,Normal,Female,Fashion Accessories,79.86,7,586.971,1/10/2019,10:33:00 AM,Credit Card,559.02,27.951,5.5,Thursday,January,00:00.0,not Satisfied
226-34-0034,Cairo,Mandalay,Normal,Female,Electronic Accessories,13.78,4,57.876,1/10/2019,11:10:00 AM,E-Wallet,55.12,2.756,9,Thursday,January,00:00.0,Satisfied
603-07-0961,Giza,Naypyitaw,Member,Male,Electronic Accessories,74.79,5,392.6475,1/10/2019,11:34:00 AM,Cash,373.95,18.6975,4.9,Thursday,January,00:00.0,not Satisfied
744-02-5987,Alex,Yangon,Member,Male,Home And Lifestyle,78.38,6,493.794,1/10/2019,2:16:00 PM,E-Wallet,470.28,23.514,5.8,Thursday,January,00:00.0,not Satisfied
640-49-2076,Cairo,Mandalay,Member,Female,Sports And Travel,83.78,8,703.752,1/10/2019,2:49:00 PM,Cash,670.24,33.512,5.1,Thursday,January,00:00.0,not Satisfied
873-51-0671,Alex,Yangon,Member,Female,Sports And Travel,21.98,7,161.553,1/10/2019,4:42:00 PM,E-Wallet,153.86,7.693,5.1,Thursday,January,00:00.0,not Satisfied
577-34-7579,Giza,Naypyitaw,Member,Male,Food And Beverages,50.49,9,477.1305,1/10/2019,5:16:00 PM,Cash,454.41,22.7205,5.4,Thursday,January,00:00.0,not Satisfied
289-15-7034,Alex,Yangon,Member,Male,Sports And Travel,82.33,4,345.786,1/11/2019,10:37:00 AM,Credit Card,329.32,16.466,7.5,Friday,January,00:00.0,Satisfied
478-06-7835,Alex,Yangon,Normal,Male,Fashion Accessories,89.69,1,94.1745,1/11/2019,11:20:00 AM,E-Wallet,89.69,4.4845,4.9,Friday,January,00:00.0,not Satisfied
406-46-7107,Alex,Yangon,Normal,Female,Home And Lifestyle,96.52,6,608.076,1/11/2019,11:52:00 AM,Cash,579.12,28.956,4.5,Friday,January,00:00.0,not Satisfied
130-67-4723,Alex,Yangon,Member,Male,Food And Beverages,48.5,6,305.55,1/11/2019,1:57:00 PM,E-Wallet,291,14.55,9.4,Friday,January,00:00.0,Satisfied
746-68-6593,Giza,Naypyitaw,Member,Female,Sports And Travel,87.16,2,183.036,1/11/2019,2:29:00 PM,Credit Card,174.32,8.716,9.7,Friday,January,00:00.0,Satisfied
540-11-4336,Alex,Yangon,Normal,Male,Food And Beverages,24.94,9,235.683,1/11/2019,4:49:00 PM,Credit Card,224.46,11.223,5.6,Friday,January,00:00.0,not Satisfied
732-67-5346,Alex,Yangon,Normal,Male,Food And Beverages,13.79,5,72.3975,1/11/2019,7:07:00 PM,Credit Card,68.95,3.4475,7.8,Friday,January,00:00.0,Satisfied
592-46-1692,Giza,Naypyitaw,Member,Female,Food And Beverages,36.77,7,270.2595,1/11/2019,8:10:00 PM,Cash,257.39,12.8695,7.4,Friday,January,00:00.0,Satisfied
852-62-7105,Cairo,Mandalay,Normal,Female,Fashion Accessories,83.25,10,874.125,1/12/2019,11:25:00 AM,Credit Card,832.5,41.625,4.4,Saturday,January,00:00.0,not Satisfied
533-66-5566,Cairo,Mandalay,Normal,Female,Home And Lifestyle,51.07,7,375.3645,1/12/2019,11:42:00 AM,Cash,357.49,17.8745,7,Saturday,January,00:00.0,Satisfied
659-36-1684,Giza,Naypyitaw,Member,F,Sports And Travel,57.12,7,419.832,1/12/2019,12:02:00 PM,Credit Card,399.84,19.992,6.5,Saturday,January,00:00.0,not Satisfied
704-48-3927,Alex,Yangon,Member,Female,Electronic Accessories,88.67,10,931.035,1/12/2019,2:50:00 PM,E-Wallet,886.7,44.335,7.3,Saturday,January,00:00.0,Satisfied
381-20-0914,Alex,Yangon,Member,Female,Fashion Accessories,20.01,9,189.0945,1/12/2019,3:48:00 PM,Credit Card,180.09,9.0045,5.7,Saturday,January,00:00.0,not Satisfied
751-41-9720,Giza,Naypyitaw,Normal,Male,Home And Lifestyle,97.5,10,1023.75,1/12/2019,4:18:00 PM,E-Wallet,975,48.75,8,Saturday,January,00:00.0,Satisfied
647-50-1224,Alex,Yangon,Normal,Female,Fashion Accessories,29.42,10,308.91,1/12/2019,4:23:00 PM,E-Wallet,294.2,14.71,8.9,Saturday,January,00:00.0,Satisfied
751-15-6198,Cairo,Mandalay,Normal,Male,Sports And Travel,23.01,6,144.963,1/12/2019,4:45:00 PM,E-Wallet,138.06,6.903,7.9,Saturday,January,00:00.0,Satisfied
848-07-1692,Cairo,Mandalay,Normal,Female,Health And Beauty,57.22,2,120.162,1/12/2019,5:13:00 PM,E-Wallet,114.44,5.722,8.3,Saturday,January,00:00.0,Satisfied
197-77-7132,Cairo,Mandalay,Member,Male,Electronic Accessories,91.56,8,769.104,1/12/2019,6:22:00 PM,E-Wallet,732.48,36.624,6,Saturday,January,00:00.0,not Satisfied
296-11-7041,Cairo,Mandalay,Member,Female,Health And Beauty,27.07,1,28.4235,1/12/2019,8:07:00 PM,Credit Card,27.07,1.3535,5.3,Saturday,January,00:00.0,not Satisfied
460-93-5834,Alex,Yangon,Normal,Male,Sports And Travel,45.58,7,335.013,1/13/2019,10:03:00 AM,Cash,319.06,15.953,5,Sunday,January,00:00.0,not Satisfied
195-06-0432,Alex,Yangon,Member,Male,Home And Lifestyle,81.01,3,255.1815,1/13/2019,12:55:00 PM,Credit Card,243.03,12.1515,9.3,Sunday,January,00:00.0,Satisfied
784-08-0310,Giza,Naypyitaw,Member,Female,Food And Beverages,21.04,4,88.368,1/13/2019,1:58:00 PM,Cash,84.16,4.208,7.6,Sunday,January,00:00.0,Satisfied
339-38-9982,Cairo,Mandalay,Member,Male,Fashion Accessories,59.86,2,125.706,1/13/2019,2:55:00 PM,E-Wallet,119.72,5.986,6.7,Sunday,January,00:00.0,not Satisfied
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic Accessories,41.65,10,437.325,1/13/2019,5:04:00 PM,Credit Card,416.5,20.825,5.4,Sunday,January,00:00.0,not Satisfied
397-25-8725,Alex,Yangon,Member,Female,Health And Beauty,39.62,9,374.409,1/13/2019,5:54:00 PM,Credit Card,356.58,17.829,6.8,Sunday,January,00:00.0,not Satisfied
459-50-7686,Alex,Yangon,Normal,Female,Electronic Accessories,23.46,6,147.798,1/13/2019,7:14:00 PM,E-Wallet,140.76,7.038,6.4,Sunday,January,00:00.0,not Satisfied
556-86-3144,Giza,Naypyitaw,Member,Female,Fashion Accessories,74.29,1,78.0045,1/13/2019,7:30:00 PM,Cash,74.29,3.7145,5,Sunday,January,00:00.0,not Satisfied
327-40-9673,Cairo,Mandalay,Member,Male,Sports And Travel,72.6,6,457.38,1/13/2019,7:51:00 PM,Cash,435.6,21.78,6.9,Sunday,January,00:00.0,not Satisfied
355-34-6244,Cairo,Mandalay,Normal,Male,Food And Beverages,72.39,2,152.019,1/13/2019,7:55:00 PM,Credit Card,144.78,7.239,8.1,Sunday,January,00:00.0,Satisfied
426-39-2418,Giza,Naypyitaw,Normal,Male,Electronic Accessories,61.41,7,451.3635,1/14/2019,10:02:00 AM,Cash,429.87,21.4935,9.8,Monday,January,00:00.0,Satisfied
320-85-2052,Cairo,Mandalay,Normal,Female,Sports And Travel,34.81,1,36.5505,1/14/2019,10:11:00 AM,Credit Card,34.81,1.7405,7,Monday,January,00:00.0,Satisfied
559-61-5987,Cairo,Mandalay,Normal,Female,Health And Beauty,17.75,1,18.6375,1/14/2019,10:38:00 AM,Cash,17.75,0.8875,8.6,Monday,January,00:00.0,Satisfied
704-10-4056,Giza,Naypyitaw,Member,Male,Health And Beauty,60.47,3,190.4805,1/14/2019,10:55:00 AM,Credit Card,181.41,9.0705,5.6,Monday,January,00:00.0,not Satisfied
868-52-7573,Cairo,Mandalay,Normal,Female,Food And Beverages,99.69,5,523.3725,1/14/2019,12:09:00 PM,Cash,498.45,24.9225,9.9,Monday,January,00:00.0,Satisfied
667-23-5919,Alex,Yangon,Member,Female,Fashion Accessories,96.7,5,507.675,1/14/2019,12:52:00 PM,E-Wallet,483.5,24.175,7,Monday,January,00:00.0,Satisfied
377-79-7592,Giza,Naypyitaw,Member,Female,Electronic Accessories,44.84,9,423.738,1/14/2019,2:00:00 PM,Credit Card,403.56,20.178,7.5,Monday,January,00:00.0,Satisfied
592-34-6155,Giza,Naypyitaw,Normal,Male,Food And Beverages,31.77,4,133.434,1/14/2019,2:43:00 PM,E-Wallet,127.08,6.354,6.2,Monday,January,00:00.0,not Satisfied
451-73-2711,Giza,Naypyitaw,Normal,Male,Food And Beverages,84.83,1,89.0715,1/14/2019,3:20:00 PM,E-Wallet,84.83,4.2415,8.8,Monday,January,00:00.0,Satisfied
658-66-3967,Giza,Naypyitaw,Normal,Male,Health And Beauty,53.19,7,390.9465,1/14/2019,3:42:00 PM,E-Wallet,372.33,18.6165,5,Monday,January,00:00.0,not Satisfied
359-90-3665,Cairo,Mandalay,Member,Female,Fashion Accessories,18.08,4,75.936,1/14/2019,6:03:00 PM,Credit Card,72.32,3.616,9.5,Monday,January,00:00.0,Satisfied
785-13-7708,Cairo,Mandalay,Normal,Male,Food And Beverages,73.06,7,536.991,1/14/2019,7:06:00 PM,Credit Card,511.42,25.571,4.2,Monday,January,00:00.0,not Satisfied
588-47-8641,Alex,Yangon,Member,Male,Fashion Accessories,56.04,10,588.42,1/14/2019,7:30:00 PM,E-Wallet,560.4,28.02,4.4,Monday,January,00:00.0,not Satisfied
301-11-9629,Alex,Yangon,Normal,Female,Sports And Travel,19.1,7,140.385,1/15/2019,10:43:00 AM,Cash,133.7,6.685,9.7,Tuesday,January,00:00.0,Satisfied
589-02-8023,Alex,Yangon,Member,Male,Food And Beverages,83.77,2,175.917,1/15/2019,10:54:00 AM,Credit Card,167.54,8.377,7,Tuesday,January,00:00.0,Satisfied
437-58-8131,Cairo,Mandalay,Normal,Female,Fashion Accessories,73.52,2,154.392,1/15/2019,1:41:00 PM,E-Wallet,147.04,7.352,4.6,Tuesday,January,00:00.0,not Satisfied
